Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
495.19	5.9992	14.853	0.067325	19.559	19.963	46.668	112.60	258.95	307.47	1.6686	62.342	0.16404	0.0018001	2.9215	0.34229	32.250	34.303	75.627	126.09	427.28	247.08	12.076	17.615	0.074119
495.75	6.0586	14.772	0.067694	19.674	20.084	46.903	112.90	264.48	303.06	1.7235	61.790	0.16397	0.0017343	2.9715	0.33653	32.198	34.237	75.452	126.10	436.89	245.88	12.017	17.737	0.075219
496.31	6.1185	14.689	0.068076	19.789	20.206	47.141	113.22	270.37	298.64	1.7809	61.234	0.16390	0.0016688	3.0232	0.33078	32.144	34.168	75.272	126.10	448.77	244.59	11.972	17.865	0.076441
496.87	6.1789	14.604	0.068472	19.906	20.330	47.382	113.55	276.63	294.20	1.8408	60.674	0.16383	0.0016036	3.0769	0.32500	32.086	34.095	75.085	126.12	463.40	243.24	11.939	17.999	0.077811
497.44	6.2398	14.517	0.068883	20.025	20.455	47.626	113.89	283.28	289.75	1.9032	60.110	0.16377	0.0015387	3.1330	0.31918	32.025	34.017	74.889	126.15	481.28	241.86	11.913	18.140	0.079354
498.00	6.3013	14.428	0.069309	20.145	20.582	47.872	114.24	290.36	285.31	1.9681	59.542	0.16371	0.0014741	3.1919	0.31329	31.959	33.933	74.683	126.20	502.86	240.50	11.888	18.291	0.081092
498.56	6.3633	14.337	0.069751	20.267	20.711	48.122	114.60	297.89	280.87	2.0356	58.970	0.16366	0.0014098	3.2540	0.30732	31.888	33.843	74.464	126.28	528.44	239.22	11.858	18.451	0.083040
499.12	6.4258	14.243	0.070209	20.390	20.841	48.375	114.98	305.88	276.45	2.1057	58.393	0.16361	0.0013459	3.3194	0.30126	31.810	33.746	74.231	126.40	557.95	238.08	11.814	18.622	0.085193
499.68	6.4890	14.147	0.070685	20.514	20.973	48.630	115.37	314.37	272.06	2.1785	57.813	0.16357	0.0012824	3.3886	0.29511	31.727	33.642	73.983	126.57	590.68	237.16	11.744	18.805	0.087516
500.24	6.5527	14.049	0.071179	20.641	21.107	48.889	115.77	323.38	267.71	2.2538	57.230	0.16354	0.0012192	3.4613	0.28891	31.637	33.530	73.722	126.79	625.05	236.50	11.641	19.000	0.089933
500.81	6.6171	13.948	0.071692	20.769	21.243	49.152	116.19	332.98	263.40	2.3319	56.644	0.16351	0.0011565	3.5373	0.28270	31.541	33.412	73.451	127.07	658.73	236.11	11.500	19.208	0.092334
501.37	6.6821	13.846	0.072225	20.898	21.381	49.417	116.62	343.20	259.13	2.4127	56.054	0.16349	0.0010942	3.6159	0.27656	31.443	33.291	73.172	127.40	689.24	235.96	11.326	19.426	0.094605
