Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
230.60	0.91334	25.594	0.039072	4.7073	4.7429	28.336	42.071	88.002	874.77	-0.083872	200.87	0.15985	0.013255	0.54061	1.8498	17.444	19.133	90.740	29.576	44.470	223.57	22.137	11.608	0.012475
230.74	0.91838	25.581	0.039092	4.7199	4.7558	28.391	42.063	88.031	873.72	-0.083101	200.40	0.15967	0.013222	0.54352	1.8398	17.445	19.135	90.706	29.597	44.525	223.57	22.101	11.616	0.012490
230.89	0.92344	25.568	0.039111	4.7326	4.7687	28.446	42.055	88.060	872.66	-0.082327	199.92	0.15949	0.013189	0.54646	1.8300	17.446	19.136	90.672	29.619	44.581	223.56	22.065	11.623	0.012506
231.04	0.92852	25.555	0.039131	4.7453	4.7816	28.501	42.047	88.089	871.61	-0.081550	199.44	0.15931	0.013156	0.54940	1.8202	17.448	19.138	90.639	29.640	44.637	223.56	22.028	11.631	0.012522
231.18	0.93362	25.542	0.039151	4.7579	4.7945	28.556	42.039	88.119	870.55	-0.080769	198.97	0.15914	0.013123	0.55236	1.8104	17.449	19.139	90.605	29.662	44.693	223.56	21.992	11.639	0.012538
231.33	0.93874	25.529	0.039170	4.7706	4.8074	28.610	42.032	88.148	869.50	-0.079985	198.50	0.15896	0.013090	0.55533	1.8007	17.450	19.141	90.572	29.683	44.750	223.55	21.956	11.647	0.012553
231.47	0.94388	25.517	0.039190	4.7833	4.8203	28.665	42.024	88.178	868.44	-0.079197	198.03	0.15878	0.013058	0.55831	1.7911	17.452	19.142	90.538	29.705	44.807	223.55	21.920	11.654	0.012569
231.62	0.94904	25.504	0.039210	4.7960	4.8332	28.720	42.016	88.208	867.39	-0.078406	197.55	0.15860	0.013025	0.56131	1.7816	17.453	19.144	90.505	29.727	44.863	223.55	21.884	11.662	0.012585
231.76	0.95423	25.491	0.039230	4.8086	4.8461	28.775	42.009	88.238	866.33	-0.077611	197.09	0.15843	0.012992	0.56431	1.7721	17.454	19.145	90.471	29.748	44.921	223.54	21.848	11.670	0.012601
231.91	0.95943	25.478	0.039250	4.8213	4.8590	28.830	42.001	88.268	865.28	-0.076813	196.62	0.15825	0.012959	0.56733	1.7626	17.455	19.147	90.438	29.770	44.978	223.54	21.812	11.678	0.012617
232.06	0.96466	25.465	0.039270	4.8340	4.8719	28.885	41.993	88.299	864.22	-0.076011	196.15	0.15807	0.012926	0.57037	1.7533	17.457	19.148	90.404	29.792	45.036	223.54	21.777	11.686	0.012633
232.20	0.96991	25.452	0.039290	4.8467	4.8848	28.939	41.986	88.329	863.16	-0.075206	195.69	0.15789	0.012893	0.57342	1.7439	17.458	19.149	90.371	29.814	45.093	223.53	21.741	11.693	0.012649
232.35	0.97517	25.439	0.039310	4.8594	4.8978	28.994	41.978	88.360	862.11	-0.074397	195.22	0.15772	0.012861	0.57648	1.7347	17.459	19.151	90.338	29.836	45.151	223.53	21.706	11.701	0.012665
232.49	0.98046	25.426	0.039330	4.8721	4.9107	29.049	41.970	88.391	861.05	-0.073585	194.76	0.15754	0.012828	0.57955	1.7255	17.460	19.152	90.304	29.858	45.210	223.52	21.670	11.709	0.012681
